backend,variant,deg,npts,rep,type,op,maxrelerr,meanrelerr,tpercall
neon,Q,3,400000,20000,qd,HORNER,2.0710e-65,2.1563e-66,1.7780e-07
neon,Q,3,400000,20000,qd,HORNER-V,2.0710e-65,2.1563e-66,6.0555e-08
neon,Q,3,400000,20000,qd,ESTRIN,2.1587e-65,3.2404e-66,2.1212e-07
neon,Q,3,400000,20000,qd,ESTRIN-V,1.2417e-64,1.2718e-65,1.6269e-07
neon,Q,3,400000,20000,qd,EVALDIFF,1.1051e-65,2.0684e-66,1.4635e-07
neon,Q,3,400000,20000,qd,POLYMUL,1.0434e-65,4.5980e-66,2.8214e-07
neon,BF,3,400000,20000,dd,HORNER,1.1098e-32,1.9626e-33,1.0256e-08
neon,BF,3,400000,20000,dd,HORNER-V,1.1098e-32,1.9626e-33,7.1442e-09
neon,BF,3,400000,20000,dd,ESTRIN,1.9347e-32,3.5367e-33,3.8049e-08
neon,BF,3,400000,20000,dd,ESTRIN-V,1.9347e-32,3.5367e-33,4.5483e-08
neon,BF,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.1912e-32,7.8510e-09
neon,BF,3,400000,20000,dd,POLYMUL,2.2520e-32,1.1758e-32,2.3158e-08
neon,BF,3,400000,20000,td,HORNER,6.9686e-49,1.2213e-49,3.9705e-08
neon,BF,3,400000,20000,td,HORNER-V,6.9686e-49,1.2213e-49,2.8679e-08
neon,BF,3,400000,20000,td,ESTRIN,7.6189e-49,1.7448e-49,6.3812e-08
neon,BF,3,400000,20000,td,ESTRIN-V,7.6189e-49,1.7448e-49,7.7202e-08
neon,BF,3,400000,20000,td,EVALDIFF,6.7640e-49,1.5959e-49,4.2574e-08
neon,BF,3,400000,20000,td,POLYMUL,1.7898e-48,6.2135e-49,7.6841e-08
neon,BF,3,400000,20000,qd,HORNER,4.9240e-65,7.5788e-66,7.2694e-08
neon,BF,3,400000,20000,qd,HORNER-V,4.9240e-65,7.5788e-66,4.8766e-08
neon,BF,3,400000,20000,qd,ESTRIN,7.3427e-65,1.0558e-65,9.6341e-08
neon,BF,3,400000,20000,qd,ESTRIN-V,7.3427e-65,1.0558e-65,1.0886e-07
neon,BF,3,400000,20000,qd,EVALDIFF,1.8082e-64,1.3799e-65,7.7373e-08
neon,BF,3,400000,20000,qd,POLYMUL,3.7576e-65,1.3150e-65,1.4929e-07
neon,FMA,3,400000,20000,dd,HORNER,1.1098e-32,2.1128e-33,4.6960e-09
neon,FMA,3,400000,20000,dd,HORNER-V,1.1098e-32,2.1128e-33,4.5281e-09
neon,FMA,3,400000,20000,dd,ESTRIN,2.4676e-32,4.3623e-33,3.1029e-08
neon,FMA,3,400000,20000,dd,ESTRIN-V,2.4676e-32,4.3623e-33,3.7543e-08
neon,FMA,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.4684e-32,4.4708e-09
neon,FMA,3,400000,20000,dd,POLYMUL,1.8228e-31,4.3711e-32,1.5845e-08
neon,FMA,3,400000,20000,td,HORNER,8.5956e-49,1.4277e-49,1.9147e-08
neon,FMA,3,400000,20000,td,HORNER-V,8.5956e-49,1.4277e-49,1.8485e-08
neon,FMA,3,400000,20000,td,ESTRIN,1.0339e-48,1.9156e-49,4.7933e-08
neon,FMA,3,400000,20000,td,ESTRIN-V,1.0339e-48,1.9156e-49,6.2731e-08
neon,FMA,3,400000,20000,td,EVALDIFF,1.2460e-48,2.2052e-49,3.4880e-08
neon,FMA,3,400000,20000,td,POLYMUL,1.7898e-48,7.3017e-49,4.5554e-08
neon,FMA,3,400000,20000,qd,HORNER,5.2435e-65,8.5244e-66,3.5485e-08
neon,FMA,3,400000,20000,qd,HORNER-V,5.2435e-65,8.5244e-66,2.4295e-08
neon,FMA,3,400000,20000,qd,ESTRIN,9.5677e-65,1.2230e-65,7.6315e-08
neon,FMA,3,400000,20000,qd,ESTRIN-V,9.5677e-65,1.2230e-65,9.3583e-08
neon,FMA,3,400000,20000,qd,EVALDIFF,7.3725e-65,1.4063e-65,4.4849e-08
neon,FMA,3,400000,20000,qd,POLYMUL,6.1562e-65,1.9763e-65,8.3657e-08
sve2,Q,3,400000,20000,dd,HORNER,1.1098e-32,1.9775e-33,6.9249e-09
sve2,Q,3,400000,20000,dd,HORNER-V,1.1098e-32,1.9775e-33,5.3363e-09
sve2,Q,3,400000,20000,dd,ESTRIN,2.0181e-32,3.6599e-33,3.4007e-08
sve2,Q,3,400000,20000,dd,ESTRIN-V,2.0181e-32,3.6023e-33,4.3118e-08
sve2,Q,3,400000,20000,dd,EVALDIFF,1.9879e-30,2.3182e-32,5.7715e-09
sve2,Q,3,400000,20000,dd,POLYMUL,2.2520e-32,1.1758e-32,1.7944e-08
sve2,Q,3,400000,20000,td,HORNER,6.4286e-49,1.0758e-49,6.1321e-08
sve2,Q,3,400000,20000,td,HORNER-V,6.4286e-49,1.0758e-49,5.4427e-08
sve2,Q,3,400000,20000,td,ESTRIN,1.0216e-48,1.5296e-49,8.7564e-08
sve2,Q,3,400000,20000,td,ESTRIN-V,4.2849e-49,1.0336e-49,1.1012e-07
sve2,Q,3,400000,20000,td,EVALDIFF,5.1374e-49,7.8870e-50,5.9984e-08
sve2,Q,3,400000,20000,td,POLYMUL,1.7898e-48,8.2449e-49,1.6022e-07
sve2,Q,3,400000,20000,qd,HORNER,2.0710e-65,2.1563e-66,1.7844e-07
sve2,Q,3,400000,20000,qd,HORNER-V,2.0710e-65,2.1563e-66,7.4840e-08
sve2,Q,3,400000,20000,qd,ESTRIN,2.1587e-65,3.2404e-66,2.1392e-07
