platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qd,binary64,4,212,1024,0,0.002123993,0.008983124,0.2364,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ds,binary32,2,48,128,0,0.000507317,1.5712e-05,32.2885,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ds,binary32,2,48,256,0,0.000635943,2.5457e-05,24.9811,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ds,binary32,2,48,512,0,0.001512049,4.392e-05,34.4273,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ds,binary32,2,48,1024,0,0.000712104,8.0769e-05,8.8166,omp,6.869703e-28,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ts,binary32,3,72,128,0,0.000567734,5.1441e-05,11.0366,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ts,binary32,3,72,256,0,0.000707416,9.7569e-05,7.2504,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ts,binary32,3,72,512,0,0.000729864,0.000189362,3.8543,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,ts,binary32,3,72,1024,0,0.000874713,0.000372676,2.3471,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qs,binary32,4,96,128,0,0.000490549,6.2608e-05,7.8352,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qs,binary32,4,96,256,0,0.001078827,0.000119617,9.0190,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,matvec,y = A*x,qs,binary32,4,96,512,0,0.00056551,0.000232707,2.4301,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
