backend,type,op,N,seconds,iters,mflops
avx2,cts,matvec,256,2.490453e-03,128,52.6298
avx2,cts,matmul,256,8.235710e-01,1,40.7426
avx2,cts,spmv,256,2.182354e-04,1024,16.3127
avx2,cqs,axpy,256,1.626136e-05,16384,31.4857
avx2,cqs,matvec,256,4.270203e-03,64,30.6946
avx2,cqs,matmul,256,1.264071e+00,1,26.5447
avx2,cqs,spmv,256,4.560468e-04,512,7.8062
avx2,cf,axpy,512,1.443038e-07,2097152,7096.1383
avx2,cf,matvec,512,8.101348e-05,4096,6471.6143
avx2,cf,matmul,512,4.941778e-01,1,543.1961
avx2,cf,spmv,512,2.688647e-05,8192,265.7099
avx2,cds,axpy,512,6.323680e-07,524288,1619.3102
avx2,cds,matvec,512,4.968708e-04,512,1055.1797
avx2,cds,matmul,512,1.817551e+00,1,147.6907
avx2,cds,spmv,512,1.046704e-04,2048,68.2523
avx2,cts,axpy,512,1.918507e-05,16384,53.3748
avx2,cts,matvec,512,9.628594e-03,32,54.4511
avx2,cts,matmul,512,9.752537e+00,1,27.5247
avx2,cts,spmv,512,4.364727e-04,512,16.3676
avx2,cqs,axpy,512,3.251745e-05,8192,31.4908
avx2,cqs,matvec,512,1.646474e-02,16,31.8431
avx2,cqs,matmul,512,1.421484e+01,1,18.8842
avx2,cqs,spmv,512,9.116558e-04,256,7.8363
avx2,cf,axpy,1024,2.838174e-07,1048576,7215.9079
avx2,cf,matvec,1024,4.719235e-04,512,4443.8389
avx2,cf,matmul,1024,1.359614e+01,1,157.9481
avx2,cf,spmv,1024,5.385600e-05,4096,265.7457
avx2,cds,axpy,1024,1.806146e-06,131072,1133.9064
avx2,cds,matvec,1024,2.704117e-03,128,775.5403
avx2,cds,matmul,1024,2.622093e+01,1,81.8996
avx2,cds,spmv,1024,2.114228e-04,1024,67.6937
avx2,cts,axpy,1024,5.375757e-05,4096,38.0970
avx2,cts,matvec,1024,3.787613e-02,8,55.3687
avx2,cts,matmul,1024,8.563542e+01,1,25.0770
avx2,cts,spmv,1024,8.725468e-04,256,16.4026
avx2,cqs,axpy,1024,9.109790e-05,4096,22.4813
avx2,cqs,matvec,1024,6.478351e-02,4,32.3717
avx2,cqs,matmul,1024,1.215234e+02,1,17.6714
avx2,cqs,spmv,1024,1.823485e-03,128,7.8487
avx2,cf,axpy,2048,1.045113e-06,262144,3919.1931
avx2,cf,matvec,2048,2.713000e-03,128,3092.0040
avx2,cf,matmul,2048,1.045505e+02,1,164.3212
avx2,cf,spmv,2048,1.099072e-04,2048,260.6562
avx2,cds,axpy,2048,3.634384e-06,65536,1127.0134
