backend,type,op,N,seconds,iters,mflops
avx2,ts,spmv,2048,4.341756e-04,512,65.9825
avx2,qs,spmv,2048,9.722346e-04,256,29.4661
avx512,float,axpy,128,7.763113e-09,33554432,32976.4627
avx512,float,matvec,128,1.253040e-06,262144,26150.8022
avx512,float,matmul,128,9.414693e-04,256,4455.0617
avx512,ds,axpy,128,2.229994e-08,16777216,11479.8499
avx512,ds,matvec,128,1.904272e-05,16384,1720.7623
avx512,ds,matmul,128,3.174812e-03,64,1321.1190
avx512,ts,axpy,128,1.418939e-07,2097152,1804.1649
avx512,ts,matvec,128,6.420363e-05,4096,510.3761
avx512,ts,matmul,128,9.629659e-03,32,435.5610
avx512,qs,axpy,128,3.162138e-07,1048576,809.5788
avx512,qs,matvec,128,1.318135e-04,2048,248.5937
avx512,qs,matmul,128,1.937431e-02,16,216.4879
avx512,float,spmv,128,3.223267e-06,65536,548.5117
avx512,ds,spmv,128,1.733624e-05,16384,101.9829
avx512,ts,spmv,128,4.510485e-05,8192,39.1976
avx512,qs,spmv,128,1.023595e-04,2048,17.2725
avx512,float,axpy,256,1.078180e-08,33554432,47487.4467
avx512,float,matvec,256,2.652374e-06,131072,49416.8629
avx512,float,matmul,256,1.541975e-02,16,2176.0683
avx512,ds,axpy,256,4.388545e-08,8388608,11666.7369
avx512,ds,matvec,256,5.104445e-05,4096,2567.8011
avx512,ds,matmul,256,1.959674e-02,16,1712.2456
avx512,ts,axpy,256,2.833128e-07,1048576,1807.1896
avx512,ts,matvec,256,1.686529e-04,2048,777.1704
avx512,ts,matmul,256,5.581123e-02,4,601.2129
avx512,qs,axpy,256,6.301116e-07,524288,812.5545
avx512,qs,matvec,256,3.344668e-04,1024,391.8834
avx512,qs,matmul,256,1.066965e-01,2,314.4849
avx512,float,spmv,256,6.457522e-06,32768,551.2951
avx512,ds,spmv,256,3.468725e-05,8192,102.6314
avx512,ts,spmv,256,9.022164e-05,4096,39.4584
avx512,qs,spmv,256,2.048584e-04,1024,17.3779
avx512,float,axpy,512,2.979482e-08,8388608,34368.3913
avx512,float,matvec,512,1.038775e-05,32768,50471.7395
avx512,float,matmul,512,1.159846e-01,2,2314.4068
avx512,ds,axpy,512,8.721395e-08,4194304,11741.2412
avx512,ds,matvec,512,1.539493e-04,2048,3405.5898
avx512,ds,matmul,512,1.457605e-01,2,1841.6196
avx512,ts,axpy,512,6.201553e-07,524288,1651.1992
avx512,ts,matvec,512,5.001579e-04,512,1048.2449
avx512,ts,matmul,512,3.964279e-01,1,677.1357
avx512,qs,axpy,512,1.269551e-06,262144,806.5844
avx512,qs,matvec,512,9.581018e-04,256,547.2153
avx512,qs,matmul,512,7.606421e-01,1,352.9064
avx512,float,spmv,512,1.310308e-05,16384,545.2152
avx512,ds,spmv,512,6.940356e-05,4096,102.9342
avx512,ts,spmv,512,1.805791e-04,2048,39.5616
avx512,qs,spmv,512,4.095174e-04,512,17.4449
avx512,float,axpy,1024,4.305326e-08,8388608,47568.9853
avx512,float,matvec,1024,1.107207e-04,2048,18940.9122
avx512,float,matmul,1024,3.414147e+00,1,628.9956
avx512,ds,axpy,1024,1.749844e-07,2097152,11703.9009
avx512,ds,matvec,1024,5.209432e-04,512,4025.6827
avx512,ds,matmul,1024,3.720841e+00,1,577.1500
avx512,ts,axpy,1024,1.128587e-06,262144,1814.6593
avx512,ts,matvec,1024,1.656014e-03,128,1266.3851
avx512,ts,matmul,1024,9.438396e+00,1,227.5263
avx512,qs,axpy,1024,2.520432e-06,131072,812.5592
avx512,qs,matvec,1024,3.066251e-03,128,683.9466
avx512,qs,matmul,1024,1.552484e+01,1,138.3257
avx512,float,spmv,1024,2.622243e-05,8192,545.7922
